發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年04月19日 11時18分00秒,高雄市前鎮區村金福路 / 高雄市前鎮區東亞路,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.325803,22.569492
110年04月19日 11時25分00秒,桃園市蘆竹區大興路口 / 桃園市蘆竹區中興路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.261485,25.012719
110年04月19日 19時49分00秒,新北市樹林區新北市樹林區東佳路與東和街,死亡1;受傷0,普通重型-機車,121.401483,24.976986
110年04月20日 06時44分44秒,花蓮縣花蓮市中山路口 / 花蓮縣花蓮市建國路口,死亡1;受傷0,自用-小客車;普通重型-機車,121.604405,23.983358
110年04月20日 07時13分00秒,宜蘭縣宜蘭市中山路1段口 / 宜蘭縣宜蘭市南津路,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.769142,24.718535
110年04月20日 13時15分00秒,新北市樹林區新北市樹林區八德街與堤外道路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.390575,24.968569
110年04月20日 21時53分00秒,高雄市前鎮區過港隧道前鎮往旗津方向機車道400公尺處,死亡1;受傷1,普通重型-機車;小型輕型-機車,120.318793,22.566788
110年04月20日 22時18分00秒,澎湖縣馬公市啟明里民福路口 / 澎湖縣馬公市啟明里仁愛路口,死亡1;受傷0,自用-小客車;行人-人,119.568249,23.564883
110年04月21日 07時05分34秒,苗栗縣苑裡鎮140線與苗43線路口,死亡1;受傷0,普通重型-機車;普通重型-機車,120.712954,24.360719
110年04月21日 09時49分00秒,桃園市桃園區桃鶯路474號前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.324388,24.973796
110年04月21日 13時55分50秒,苗栗縣後龍鎮台72線 2.8公里西側向內側,死亡1;受傷0,大型重型2(250-550C.C.)-機車,120.791811,24.611970
110年04月21日 17時50分00秒,彰化縣鹿港鎮海埔里鹿草路2段 / 彰化縣鹿港鎮海埔里鹿草路2段,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.441126,24.073678
110年04月21日 19時20分00秒,苗栗縣銅鑼鄉銅鑼村19鄰中正路17號,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.786152,24.481002
110年04月21日 21時39分00秒,臺中市沙鹿區電線桿神清幹13前,死亡1;受傷0,普通重型-機車,120.602976,24.260048
110年04月22日 09時39分42秒,宜蘭縣礁溪鄉191縣道路口 / 宜蘭縣礁溪鄉武暖路口,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,121.777928,24.782060
110年04月22日 12時09分00秒,高雄市大社區中正路 / 高雄市大社區大社路,死亡1;受傷0,自用-大貨車;普通重型-機車,120.348891,22.733197
110年04月22日 14時27分00秒,高雄市梓官區信義路彌陀BB23號前0.0公尺,死亡1;受傷0,普通重型-機車,120.261566,22.764307
110年04月22日 16時16分30秒,宜蘭縣頭城鎮猴洞橋東端(台9線69.7K)附近,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.822913,24.615380
110年04月22日 20時05分00秒,桃園市中壢區龍慈路口 / 桃園市中壢區龍岡路3段,死亡1;受傷0,行人-人;自用-小客車,121.236026,24.930096
110年04月22日 22時30分00秒,南投縣埔里鎮枇杷路83號附近,死亡1;受傷0,普通重型-機車,120.987811,23.952097
110年04月23日 07時40分00秒,高雄市阿蓮區民生路286號前0.0公尺,死亡1;受傷0,普通重型-機車,120.323303,22.888824
110年04月23日 12時45分00秒,臺南市新營區埤寮里埤寮96號,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.320635,23.326986
110年04月23日 15時34分00秒,高雄市三民區明誠二路48號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用),120.321600,22.666660
110年04月23日 18時01分44秒,南投縣草屯鎮山腳里富林路1段607號,死亡1;受傷0,普通重型-機車;自用-小客車,120.689448,23.970127
110年04月23日 20時35分00秒,臺中市梧棲區頂寮里大智路二段 / 臺中市梧棲區頂寮里八德路,死亡1;受傷0,行人-人;自用-小客車,120.532023,24.260495
110年04月24日 06時56分00秒,桃園市桃園區國際路一段413巷56號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,121.288176,24.970951
110年04月24日 14時14分00秒,屏東縣屏東市和生路二段口 / 屏東縣屏東市和生路二段口,死亡1;受傷0,普通重型-機車;自用-小客車,120.484568,22.651771
110年04月24日 15時35分00秒,高雄市六龜區台27線 2公里100.0公尺處北側,死亡1;受傷1,自用-小客車;乘客-人,120.668212,23.058331
110年04月24日 17時00分01秒,宜蘭縣三星鄉大洲路262號前0.0公尺北側,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.727919,24.698084
110年04月24日 18時06分29秒,屏東縣枋寮鄉台17線與東林路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.588774,22.394783
110年04月25日 01時58分00秒,臺北市中正區南海路 / 臺北市中正區和平西路2段,死亡1;受傷1,普通重型-機車;行人-人,121.509193,25.030489
110年04月25日 09時47分22秒,桃園市龜山區萬壽路2段口 / 桃園市龜山區新樂街口,死亡1;受傷0,普通重型-機車;自用-小客車;營業用-曳引車,121.362018,25.001666
110年04月25日 10時46分00秒,彰化縣竹塘鄉竹元村竹鹿路前0.0公尺,死亡1;受傷0,普通重型-機車,120.420757,23.859545
110年04月25日 16時50分00秒,桃園市桃園區桃鶯路220號前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人,121.319660,24.980856
110年04月26日 00時08分00秒,高雄市鳳山區南榮路 / 高雄市鳳山區鳳南路,死亡1;受傷1,普通重型-機車;行人-人,120.335746,22.601128
110年04月26日 04時04分00秒,臺中市后里區公館里三豐路五段131號前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人,120.728924,24.329658
110年04月26日 07時22分00秒,臺南市善化區嘉北里省道臺1線前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,120.331601,23.148216
110年04月26日 11時40分00秒,新北市永和區新北市永和區中山路1段35號,死亡1;受傷0,普通重型-機車;自用-小客車,121.513195,25.010467
110年04月26日 16時52分00秒,高雄市阿蓮區台28省道 / 高雄市阿蓮區台39省道,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.307700,22.877770
110年04月26日 18時53分00秒,雲林縣口湖鄉崙東村中山路(路燈編號076778旁),死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.164878,23.617793
110年04月27日 15時50分00秒,彰化縣芳苑鄉崙腳村草崙路13弄78號前0.0公尺,死亡1;受傷0,動力機械-其他車;普通重型-機車,120.368247,23.961864
110年04月27日 19時40分00秒,新竹市東區忠孝路口 / 新竹市東區建功一路,死亡1;受傷0,電動自行車-慢車;自用-小客車,120.991682,24.803687
110年04月28日 01時28分00秒,桃園市桃園區新埔六街116號前0.0公尺附近,死亡1;受傷0,自用-小客車,121.302046,25.016040
110年04月28日 20時30分00秒,臺中市烏日區榮泉里中山路三段 / 臺中市烏日區榮泉里榮和路,死亡1;受傷1,普通重型-機車;電動自行車-慢車;自用-小貨車(含客、貨兩用),120.597998,24.111375
110年04月29日 00時55分40秒,嘉義市東區國道3號 295公里800.0公尺處南側向內側,死亡1;受傷1,自用-小客車;自用-小客車;自用-小客車;自用-小客車,120.494951,23.490193
110年04月29日 02時43分48秒,臺南市下營區大吉里南57線0.8公里處,死亡1;受傷1,自用-小客車;乘客-人,120.268580,23.229291
110年04月29日 05時43分00秒,臺中市大甲區義和里經國路 / 臺中市大甲區義和里文曲路,死亡1;受傷0,自用-小客車;普通重型-機車,120.617771,24.340803
110年04月29日 06時35分00秒,新北市五股區新北市五股區疏洪北路與成洲八路,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.450777,25.074792
110年04月29日 10時30分00秒,臺東縣太麻里鄉台9線 393公里500.0公尺處南側向中外,死亡1;受傷2,自用-小客車;公營公車-大客車;乘客-人,120.984759,22.572182
110年04月29日 18時19分00秒,彰化縣永靖鄉永興村永興路1段 / 彰化縣永靖鄉永興村永興路1段,死亡1;受傷1,普通重型-機車;普通重型-機車,120.568185,23.925185
110年04月29日 20時51分00秒,臺南市北門區永隆里省道臺17線口 / 臺南市北門區永隆里臺84下東西平面道路口,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人,120.129744,23.278386
110年04月30日 07時02分00秒,臺中市清水區鰲峰里中航路三段1號前0.0公尺,死亡1;受傷0,民營客運-大客車;行人-人,120.582748,24.266095
110年04月30日 20時40分59秒,新竹縣竹北市中華路678號附近,死亡1;受傷0,自用-小客車;普通重型-機車,121.005316,24.847459
110年04月30日 22時53分00秒,桃園市平鎮區金陵路7段口 / 桃園市平鎮區石門大圳便道口,死亡2;受傷0,普通重型-機車;計程車-小客車;乘客-人,121.232474,24.903581
110年05月01日 02時11分00秒,臺北市萬華區漢中街 / 臺北市萬華區成都路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.507498,25.042382
110年05月01日 04時48分00秒,臺中市東勢區北興里東關路7段口 / 臺中市東勢區北興里正二街口,死亡1;受傷0,自用-小客車;行人-人,120.824030,24.258123
110年05月01日 08時40分00秒,高雄市鼓山區馬卡道路 / 高雄市鼓山區青海路,死亡1;受傷0,自用-小客車;普通重型-機車,120.301520,22.627160
110年05月01日 11時15分22秒,新竹縣橫山鄉中豐路二段與仁愛街口,死亡1;受傷0,大型重型1(550C.C.以上)-機車,121.144077,24.716594
110年05月01日 15時05分00秒,高雄市鳳山區五甲一路口 / 高雄市鳳山區凱旋路口,死亡1;受傷0,普通重型-機車,120.350453,22.612226
110年05月01日 20時04分00秒,臺中市龍井區新庄里向上路六段 / 臺中市龍井區新庄里南新路,死亡1;受傷0,營業用-大貨車;行人-人,120.574315,24.181149
110年05月01日 21時38分00秒,桃園市觀音區大觀路1段口 / 桃園市觀音區大觀路1段,死亡1;受傷0,自用-小客車;行人-人,121.154819,25.053194
110年05月01日 22時29分00秒,桃園市龍潭區公園路燈桿0301089前,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;行人-人,121.218904,24.867078
110年05月02日 05時07分31秒,新北市新店區國道3號 31公里北側向路肩,死亡1;受傷0,自用-小客車,121.525159,24.968556
110年05月02日 06時53分00秒,臺中市大里區內新里內新街108號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.693208,24.113118
110年05月02日 07時03分00秒,新北市三重區新北市三重區疏洪十二路(中山橋下方),死亡1;受傷0,普通重型-機車,121.472134,25.064110
110年05月02日 07時53分00秒,高雄市左營區村明誠二路 / 高雄市左營區富國路,死亡1;受傷1,普通重型-機車;計程車-小客車,120.306600,22.675510
110年05月02日 20時15分00秒,高雄市六龜區台20線 75公里東側,死亡1;受傷0,普通重型-機車,120.683072,23.092348
110年05月03日 08時15分00秒,桃園市龜山區振興路1057號前0.0公尺,死亡1;受傷0,普通重型-機車,121.370161,25.025131
110年05月03日 11時12分00秒,臺中市清水區頂湳里大田產業道路前0.0公尺,死亡1;受傷0,大型重型1(550C.C.以上)-機車;營業用-大貨車,120.613414,24.306006
110年05月03日 12時00分19秒,南投縣鹿谷鄉初鄉村中正路3段-投151線2.8k,死亡1;受傷1,自用-大貨車;乘客-人,120.727733,23.761516
110年05月04日 01時10分26秒,雲林縣斗六市雲林路二段357號前,死亡1;受傷0,普通重型-機車,120.528617,23.701134
110年05月04日 06時45分00秒,臺北市信義區永吉路 / 臺北市信義區松山路,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),121.577596,25.045478
110年05月04日 10時29分12秒,新竹縣新豐鄉竹六線與中崙村產業道路,死亡1;受傷0,自用-小客車;普通重型-機車,121.016842,24.891475
110年05月04日 14時51分00秒,高雄市大樹區台29省道前0.0公尺,死亡1;受傷0,普通重型-機車,120.443461,22.716890
110年05月04日 17時16分00秒,臺南市安平區安北路180號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.159519,23.002544
110年05月05日 03時28分00秒,臺中市南區和平里東興路一段 / 臺中市南區和平里樹義一巷,死亡1;受傷0,自用-小客車;行人-人,120.657298,24.118571
110年05月05日 07時48分47秒,臺南市仁德區一甲里中正路三段口 / 臺南市仁德區一甲里忠義路口,死亡1;受傷2,普通重型-機車;普通重型-機車;普通重型-機車,120.254018,22.976666
110年05月05日 10時53分00秒,高雄市鳥松區村學堂路 / 高雄市鳥松區北平路,死亡1;受傷0,普通重型-機車,120.399263,22.657401
110年05月05日 11時27分53秒,雲林縣東勢鄉東北村北環東路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.257410,23.679456
110年05月05日 21時05分01秒,南投縣名間鄉員集路路燈002029處,死亡1;受傷0,普通重型-機車,120.715155,23.830615
110年05月06日 07時40分00秒,彰化縣田中鎮沙崙里中州路2段 / 彰化縣田中鎮沙崙里中州路2段,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,120.574844,23.847539
110年05月06日 08時21分00秒,桃園市觀音區新華路1段968號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車,121.122731,25.000380
110年05月06日 09時36分00秒,嘉義縣民雄鄉東湖村建國路二段260之1號前,死亡1;受傷0,自用-曳引車;腳踏自行車-慢車,120.433617,23.548382
110年05月06日 12時35分00秒,新竹縣寶山鄉寶新路2段附近 / 新竹縣寶山鄉東坑路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.972838,24.738262
110年05月06日 14時41分00秒,宜蘭縣蘇澳鎮台9線 105公里500.0公尺處,死亡2;受傷3,營業用-曳引車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);行人-人;行人-人;行人-人,121.848748,24.590838
110年05月07日 03時50分00秒,臺北市大同區承德路3段 / 臺北市大同區敦煌路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.519936,25.075247
110年05月07日 06時26分00秒,屏東縣長治鄉下寮巷33號附近,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,120.541570,22.675478
110年05月07日 12時57分59秒,南投縣南投市登施路路燈32115,死亡1;受傷0,自用-小客車,120.645486,23.911451
110年05月07日 14時52分37秒,苗栗縣公館鄉館南村館南312號前,死亡1;受傷0,普通重型-機車;自用-小客車;營業用-小貨車(含客、貨兩用),120.827956,24.493460
110年05月07日 15時13分41秒,屏東縣屏東市和生路1段口 / 屏東縣屏東市歸仁路口,死亡2;受傷1,普通重型-機車;行人-人;普通重型-機車;自用-大貨車,120.502764,22.657894
110年05月07日 17時33分00秒,高雄市大寮區村八德路中庄256路燈號前0.0公尺前,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.399250,22.632331
110年05月07日 17時52分00秒,臺南市永康區富強路一段97號前,死亡1;受傷0,自用-大貨車;普通重型-機車,120.273089,23.015514
110年05月07日 19時31分00秒,臺中市北屯區水景里太原路三段 / 臺中市北屯區水景里景賢六路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.711641,24.164543
110年05月08日 05時46分04秒,臺南市南區萬年路363號口,死亡1;受傷0,普通重型-機車,120.189693,22.936597
110年05月08日 05時59分00秒,桃園市楊梅區楊新路1段口 / 桃園市楊梅區楊新路1段,死亡1;受傷0,自用-小客車;普通重型-機車,121.138625,24.917673
110年05月08日 09時58分43秒,苗栗縣通霄鎮台1線123.8k北上車道與台61線上匝道入口處(南下),死亡1;受傷0,自用-小客車;普通重型-機車,120.715890,24.570544
110年05月08日 10時13分00秒,彰化縣芳苑鄉仁愛村斗苑路頂後段 / 彰化縣芳苑鄉仁愛村芳寮路,死亡1;受傷5,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人;乘客-人,120.349311,23.905155
110年05月08日 11時02分00秒,新北市石碇區新北市石碇區北宜公路23.4公里處,死亡1;受傷1,普通重型-機車;乘客-人,121.677618,24.937839
110年05月08日 11時05分00秒,雲林縣斗六市虎溪里西平路511號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.526072,23.721391
110年05月08日 11時13分00秒,高雄市三民區村大裕路 / 高雄市三民區大興街,死亡1;受傷0,電動自行車-慢車;自用-小客車,120.328611,22.653993
110年05月08日 17時02分50秒,桃園市觀音區成功路1段268之1號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.143344,25.054691
110年05月08日 22時29分00秒,桃園市蘆竹區中正北路12號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,121.291976,25.030272
110年05月09日 01時58分00秒,彰化縣和美鎮還社里彰新路4段343號前0.0公尺,死亡1;受傷0,電動自行車-慢車,120.520357,24.122545
110年05月09日 12時23分08秒,臺南市仁德區中洲里依仁路，中洲橋,死亡1;受傷0,普通重型-機車,120.253564,22.910337
110年05月09日 14時31分16秒,臺南市學甲區三慶里區道南2線紅茄62-8號口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.192900,23.286624
110年05月09日 18時05分25秒,臺南市七股區七股區篤加里南25-3公路1.4公尺處,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.119023,23.150047
110年05月09日 23時20分00秒,南投縣魚池鄉文武巷1-20號前,死亡1;受傷1,普通重型-機車;乘客-人,120.939764,23.888223
110年05月10日 01時10分11秒,臺南市新營區國道1號 286公里200.0公尺處南側向內側,死亡1;受傷0,自用-小客車;自用-小客車;其他人-人,120.286667,23.301615
110年05月10日 07時12分00秒,宜蘭縣頭城鎮吉祥路平交道(宜蘭線八堵起56K+918M),死亡1;受傷0,行人-人;火車-其他車,121.821130,24.856319
110年05月10日 08時35分06秒,嘉義縣大林鎮平林里水源路與水源路73巷路口,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.461451,23.605202
110年05月10日 10時53分00秒,南投縣埔里鎮台21線 52公里400.0公尺處東側,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.922306,23.931625
110年05月10日 11時40分00秒,臺東縣成功鎮台11線 99公里800.0公尺處附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.401884,23.211924
110年05月10日 14時04分03秒,臺南市新營區興業里延平路急水溪橋北上車道(3851號路燈),死亡1;受傷0,普通重型-機車;自用-小客車,120.312899,23.296011
110年05月10日 17時06分35秒,雲林縣虎尾鎮埒內里埒內路255-51號口,死亡1;受傷2,自用-小貨車(含客、貨兩用);自用-小客車;乘客-人,120.447459,23.728920
110年05月10日 18時37分00秒,高雄市大寮區村大寮路 / 高雄市大寮區無名路,死亡1;受傷0,普通重型-機車;自用-小客車,120.408310,22.593648
110年05月10日 20時50分00秒,高雄市永安區村永達路永安156燈桿號前0.0公尺,死亡1;受傷0,普通重型-機車,120.217378,22.825671
110年05月11日 05時32分30秒,南投縣國姓鄉中正路1段(台14線35K),死亡1;受傷0,普通重型-機車,120.818403,24.008664
110年05月11日 07時48分00秒,桃園市楊梅區裕成路上(編號0410867)路燈桿旁,死亡1;受傷0,普通重型-機車,121.164241,24.907063
110年05月11日 11時10分00秒,花蓮縣花蓮市防汛道路豐村132之3號前0.0公尺,死亡1;受傷0,普通重型-機車,121.594367,24.012668
110年05月11日 22時17分00秒,新北市五股區新北市五股區壟鉤路燈桿344007,死亡1;受傷0,普通重型-機車,121.415173,25.087111
110年05月12日 03時40分00秒,雲林縣斗南鎮台78線下台1線匝道(台78線32.8公里西向),死亡2;受傷0,自用-小客車;乘客-人,120.462496,23.662277
110年05月12日 05時31分00秒,雲林縣口湖鄉台61線公路(北上245.4公里處),死亡1;受傷0,營業用-曳引車;自用-大貨車;營業用-全聯結車,120.156830,23.567409
110年05月12日 06時32分00秒,彰化縣溪州鄉潮洋村陸軍路1段 / 彰化縣溪州鄉潮洋村陸軍路1段,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,120.519090,23.813128
110年05月12日 06時49分00秒,南投縣草屯鎮御史里玉屏路珍東橋旁,死亡1;受傷0,拼裝車-其他車,120.714894,24.001001
110年05月12日 07時25分59秒,苗栗縣三灣鄉苗124線18.5公里處,死亡1;受傷0,自用-小客車;普通重型-機車,120.983720,24.639374
110年05月12日 07時56分00秒,桃園市大園區大觀路口 / 桃園市大園區大觀路,死亡1;受傷0,普通重型-機車;自用-小客車,121.165841,25.057894
110年05月12日 08時33分00秒,嘉義市西區湖內里湖子內路 / 嘉義市西區湖內里環湖路,死亡1;受傷0,自用-大貨車;普通重型-機車,120.438530,23.442324
110年05月12日 08時49分00秒,臺中市新社區復盛里中和街三段 / 臺中市新社區復盛里橫屏巷,死亡1;受傷0,普通重型-機車,120.803048,24.234506
110年05月12日 09時00分00秒,雲林縣斗南鎮雲林縣斗南鎮新崙里雲181線道與雲181縣產業道口,死亡1;受傷0,電動自行車-慢車;自用-小貨車(含客、貨兩用),120.438922,23.673310
110年05月12日 13時12分00秒,雲林縣北港鎮樹腳里產業道路北好38西10A電桿旁,死亡1;受傷0,腳踏自行車-慢車,120.285481,23.589053
110年05月12日 18時55分47秒,苗栗縣銅鑼鄉銅鑼村東田洋5號,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.786215,24.476256
110年05月13日 05時11分00秒,新北市永和區新北市永和區中正路與永貞路,死亡1;受傷0,營業用-小貨車(含客、貨兩用);行人-人,121.515196,24.996749
110年05月13日 15時45分00秒,嘉義縣中埔鄉裕民村嘉135線與嘉134線岔路口,死亡1;受傷1,普通重型-機車;乘客-人,120.514987,23.431690
110年05月13日 17時49分00秒,屏東縣枋寮鄉台1線 436公里北側向內側,死亡1;受傷0,普通輕型-機車;自用-小客車,120.598734,22.377527
110年05月14日 03時50分27秒,臺中市烏日區國道1號 185公里500.0公尺處北側向外側,死亡1;受傷0,營業用-大貨車;營業用-大貨車,120.593458,24.115535
110年05月14日 11時36分46秒,臺南市歸仁區後市里國光街附近 / 臺南市歸仁區後市里民族一街口,死亡1;受傷0,普通重型-機車;自用-小客車,120.291320,22.968925
110年05月14日 12時15分00秒,臺中市和平區達觀里東崎路1段前0.0公尺,死亡2;受傷0,普通重型-機車;乘客-人,120.922541,24.311165
110年05月14日 16時00分00秒,花蓮縣富里鄉台9線 288公里700.0公尺處口,死亡1;受傷0,普通重型-機車;自用-大貨車,121.296967,23.253970
110年05月14日 17時23分00秒,桃園市桃園區莊敬路二段往桃園方向近寶慶路口(路邊停車格063號前),死亡1;受傷0,普通重型-機車;自用-小客車,121.288052,25.020443
110年05月14日 19時01分00秒,新北市新莊區新北市新莊區中環路3段245629燈桿,死亡1;受傷0,普通重型-機車;民營客運-大客車,121.442470,25.053583
110年05月14日 21時22分00秒,高雄市阿蓮區村中山路339號前0.0公尺,死亡1;受傷0,電動自行車-慢車;自用-小貨車(含客、貨兩用),120.326474,22.873935
110年05月14日 23時34分00秒,新竹市香山區華江街39巷與華江街47巷口,死亡1;受傷0,自用-小客車;行人-人,120.919215,24.807998
110年05月15日 11時03分00秒,高雄市鳳山區村文教路 / 高雄市鳳山區文昌二街,死亡1;受傷0,普通重型-機車;自用-小客車,120.352056,22.633541
110年05月15日 15時48分29秒,新竹縣竹北市東興路二段1038巷口,死亡1;受傷0,自用-小客車;行人-人,121.066335,24.785133
110年05月15日 23時31分15秒,臺南市安南區大眾路(本田高幹114-1號燈桿),死亡1;受傷0,普通重型-機車,120.137781,23.028908
110年05月16日 15時09分00秒,臺中市大里區西湖里大峰路57號前0.0公尺,死亡2;受傷0,自用-小客車;乘客-人,120.690268,24.074927
110年05月17日 04時48分00秒,新竹市香山區中華路5段513巷,死亡1;受傷0,行人-人;自用-小客車,120.912465,24.761113
110年05月17日 05時57分00秒,臺南市鹽水區水秀里區道南74線口 / 臺南市鹽水區水秀里區道南80線口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.287342,23.328847
110年05月17日 08時53分00秒,屏東縣屏東市公興路368巷(口),死亡1;受傷1,普通重型-機車;自用-小客車;普通重型-機車,120.478184,22.642440
110年05月17日 15時41分10秒,臺中市霧峰區國道6號 1公里西側向路肩,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用),120.725635,24.006451
110年05月17日 16時09分00秒,屏東縣枋寮鄉台17線 272公里,死亡1;受傷0,普通重型-機車,120.586659,22.398257
110年05月17日 16時23分00秒,新北市新莊區新北市新莊區民安路與成功街,死亡1;受傷0,民營客運-大客車;行人-人,121.429414,25.021668
110年05月17日 17時06分00秒,臺東縣臺東市正氣北路口 / 臺東縣臺東市綏遠路1段口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.113841,22.761635
110年05月17日 23時58分00秒,屏東縣屏東市機場北路(過福德祠第二支路燈桿),死亡1;受傷0,普通重型-機車,120.477635,22.672427
110年05月18日 13時45分52秒,嘉義市東區國道3號 294公里400.0公尺處北側向內側,死亡1;受傷0,自用-小客車;自用-小貨車(含客、貨兩用),120.494951,23.490193
110年05月18日 18時34分00秒,臺南市七股區龍山里9-2號前,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.117431,23.137197
110年05月18日 19時24分00秒,屏東縣高樹鄉尚和路、中正路口,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用),120.617799,22.759849
110年05月18日 20時48分00秒,南投縣草屯鎮新庄里芬草路二段與日新街口,死亡1;受傷0,自用-小客車;大型重型1(550C.C.以上)-機車,120.677469,23.988383
110年05月19日 05時19分58秒,苗栗縣苑裡鎮140線東向車道7.5公里處,死亡1;受傷0,普通重型-機車,120.677887,24.387553
110年05月19日 06時42分10秒,屏東縣枋山鄉台1線 448公里800.0公尺處南側向機、慢車道,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車;自用-大貨車,120.643964,22.293113
110年05月19日 06時44分00秒,臺南市新市區永就里中山路口 / 臺南市新市區永就里新港社大道口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.281876,23.062297
110年05月19日 08時00分32秒,臺南市山上區178甲線與南184線道路口,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,120.359667,23.096719
110年05月19日 10時36分44秒,南投縣草屯鎮碧洲里草溪路富貴巷涵洞前,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.671082,23.948673
110年05月19日 12時28分56秒,雲林縣四湖鄉林厝村台78線入61線匝道,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.177399,23.694194
110年05月19日 17時45分00秒,臺北市南港區忠孝東路7段前0.0公尺,死亡1;受傷0,普通重型-機車,121.598557,25.051030
110年05月20日 10時52分00秒,宜蘭縣宜蘭市鎮平二路口 / 宜蘭縣宜蘭市慈航一路口,死亡1;受傷0,自用-小客車;普通重型-機車,121.741774,24.765705
110年05月20日 11時52分00秒,新北市五股區新北市五股區中興路3段2巷10號與中興路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.447698,25.083632
110年05月20日 13時15分00秒,嘉義縣太保市南新里159線13公里400公尺處,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.387420,23.496098
110年05月20日 15時04分00秒,嘉義縣新港鄉南港村南港9號前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.315631,23.560968
110年05月20日 17時29分00秒,彰化縣鹿港鎮廖厝里廖厝巷 / 彰化縣鹿港鎮廖厝里廖厝巷,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,120.468392,24.085358
110年05月21日 04時55分00秒,花蓮縣玉里鎮長良23號前,死亡1;受傷0,自用-小客車;行人-人,121.287824,23.274760
110年05月21日 05時51分00秒,新竹縣竹北市福興路口 / 新竹縣竹北市嘉勤南路,死亡1;受傷0,計程車-小客車;行人-人,121.014827,24.820777
110年05月21日 13時14分00秒,新北市五股區新北市五股區登林路74號,死亡1;受傷0,遊覽車-大客車;行人-人;自用-小貨車(含客、貨兩用);普通重型-機車,121.429202,25.069413
